date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:52	2630/2630	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:19%20GMT	http://www.hantang.com/english/en_Articles/Dryskin.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/Dryskin.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:53	1570/1570	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:26%20GMT	http://www.hantang.com/english/en_Articles/moistskin.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/moistskin.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:54	1715/1715	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:32%20GMT	http://www.hantang.com/english/en_Articles/weaklowlamp.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/weaklowlamp.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:55	2096/2096	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:17%20GMT	http://www.hantang.com/english/en_Articles/brainpro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/brainpro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:56	2670/2670	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:17%20GMT	http://www.hantang.com/english/en_Articles/bloodpre.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/bloodpre.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:56	2819/2819	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:17%20GMT	http://www.hantang.com/english/en_Articles/bspro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/bspro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:57	1983/1983	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:27%20GMT	http://www.hantang.com/english/en_Articles/painfulfacepro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/painfulfacepro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:58	2830/2830	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:24%20GMT	http://www.hantang.com/english/en_Articles/kidneystone.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/kidneystone.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:58	2219/2219	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:27%20GMT	http://www.hantang.com/english/en_Articles/painjoin.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/painjoin.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:59	2403/2403	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:23%20GMT	http://www.hantang.com/english/en_Articles/joinimflam.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/joinimflam.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
